cod_prod,descr_resumida,descr_detalhada,preco,unidade
004FBR1634,FB 102 FE/PU RO,RODIZIO DE AÇO FIXO FM 102 UFS 10,183,PECA
004GBR1635,GB 102 FE/PU RO,RODIZIO DE AÇO GIRATÓRIO GM 102 UFS 10,252,PECA
004RO1484,KIT 3/8 - L14,KIT PARAFUSO E PORCA 3/8x67 DA LINHA 14 LEVE,1.2,PECA
004RO2121,RO 205 BM RO,RODA 30CM DIAMETRO RL 205 COM ROLAMENTO DE ESFERA,103.7,PECA
004RO2122,RO 102 FE/PU RO,RODA 102 Ferro com PU Rolamento,203.83,PECA
004RO2147,RO 82 BI B,"RODA BORRACHA INTEGRAL 200X50X56 - 8"" FP-7/8 - RBIN82FP0708",15.7,PECA
004RO2149,RO 92 BI B,"RODA BORRACHA INTEGRAL 225X50X56 - 9"" C/BUCHA7/8",20.55,PECA
004RO2158,RO 102 BI B,"RODA BORRACHA INTEGRAL 250X50X56 - 10"" FP-7/8; RBIN102FP0708",24.29,PECA
004RO2160,RO 123 BI B,"RODA BORRACHA INTEGRAL 300X50X70 - 12"" FP-1""; RBIN123FP2540",37.56,PECA
012FR121984,FR L12 FERRO,FREIO COMPLETO LINHA 12 COM MOLA E CAIXINHA,3.34,PECA
012RO1137,KIT 5/16 - L12,KIT PARAFUSO E PORCA 5/16x53 DA LINHA 12,0.86,PECA
012RO1959,KIT 5/16 PLK - L12,KIT PARAFUSO E PORCA PARLOCK 5/16x53 LINHA 12,0.95,PECA
111CA30,CANTONEIRA L,CANTONEIRA ESQUADRO OU L,0.18,PECA
114BU1053,BP 1/2,BUCHA PARA RODIZIO DE AÇO DE PINO DE 1/2,0.11,PECA
114BU860,BP 5/8,BUCHA PARA RODIZIO DE AÇO DE PINO DE 5/8,0.13,PECA
114FBL1054,FB 114 NY PTA,RODIZIO DE AÇO FIXO 114 COM RODA NYLON PRETA,1.65,PECA
114FBL1063,FB 114 GR,RODIZIO DE AÇO FIXO 114 SEM RODA E COM REBITE,0.7573,PECA
114FBL31,FB 114 PP PTA,RODIZIO DE AÇO FIXO 114 COM RODA PP PRETA,1.3,PECA
004RO1632,RO 12 PU MO,"RODA DE PU MOLDADO MODELO R123UFL 12"" (300X70X78MM)",320,PECA
004RO1988,KIT 7/16 PLK - L14R,"KIT PARAFUSO E PORCA PARLOCK 7/16x2""3/4  LINHA 14",1.64,PECA
114FBL33,FB 114 PP BCA,RODIZIO DE AÇO FIXO 114 COM RODA PP BRANCA,1.3,PECA
114FBL34,FB 114 CRISTAL,RODIZIO DE AÇO FIXO 114 COM RODA CRISTAL,1.51,PECA
114GBL1055,GB 114 NY PTA,RODIZIO DE AÇO GIRATÓRIO DE BASE 114 COM RODA NYLON PRETA,2.08,PECA
114GBL1064,GB 114 GR,RODIZIO DE AÇO GIRATÓRIO DE BASE 114 SEM RODA E COM REBITE,1.36,PECA
114GBL1071,GB 114 PP PTA CROM,RODIZIO DE AÇO GIRATORIO DE BASE LINHA 114 COM RODA PP PTA CROMADO,2.47,PECA
114GBL1072,GB 114 CRISTAL CROM,RODIZIO DE AÇO GIRATORIO DE BASE LINHA 114 COM RODA CRISTAL CROMADO,2.75,PECA
114GBL1647,BA 114,RODIZIO DE AÇO GIRATORIO 114 SOMENTE BASE,0.26,PECA
114GBL1648,GB 114 G,RODIZIO DE AÇO GIRATORIO 114 SOMENTE GARFO,0.4047,PECA
114GBL35,GB 114 PP PTA,RODIZIO DE AÇO GIRATÓRIO DE BASE 114 COM RODA PP PRETA,1.72,PECA
114GBL36,GB 114 PP CZA,RODIZIO DE AÇO GIRATÓRIO DE BASE 114 COM RODA PP CINZA,1.72,PECA
114GBL37,GB 114 PP BCA,RODIZIO DE AÇO GIRATÓRIO DE BASE 114 COM RODA PP BRANCA,1.72,PECA
114PBL1052,PB 114 PP PTA SB,RODIZIO DE AÇO COM PINO 114 COM RODA PP PTA SEM BUCHA,1.3442,PECA
114GBL38,GB 114 CRISTAL,RODIZIO DE AÇO GIRATÓRIO DE BASE 114 COM RODA CRISTAL,2,PECA
114PBL1056,PB 114 NY PTA B5/8,RODIZIO DE AÇO COM PINO 114 COM RODA NY PTA BUCHA 5/8,2.05,PECA
114PBL1057,PB 114 NY PTA B1/2,RODIZIO DE AÇO COM PINO 114 COM RODA NY PTA BUCHA 1/2,2,PECA
114PBL1058,PB 114 PP BCA SB,RODIZIO DE AÇO COM PINO 114 COM RODA PP BCA SEM BUCHA,1.3442,PECA
114PBL1060,PB 114 CRISTAL SB,RODIZIO DE AÇO COM PINO 114 COM RODA CRISTAL SEM BUCHA,0.9516,PECA
114PBL1059,PB 114 PP CZA SB,RODIZIO DE AÇO COM PINO 114 COM  RODA PP PTA SEM BUCHA,1.3442,PECA
114PBL1061,PB 114 NY PTA SB,RODIZIO DE AÇO COM PINO 114 COM RODA NY PTA SEM BUCHA,1.7368,PECA
114PBL1065,PB 114 GR B1/2,RODIZIO DE AÇO COM PINO 114 COM BUCHA 1/2 SEM RODA COM REBITE,1.16,PECA
114PBL1066,PB 114 GR B5/8,RODIZIO DE AÇO COM PINO 114 COM BUCHA 5/8 SEM RODA COM REBITE,1.23,PECA
114PBL1067,CV PB 114,CAVALETE  RODIZIO DE AÇO 114,0.4212,PECA
114PBL39,PB 114 PP PTA B1/2,RODIZIO DE AÇO COM PINO RODA 114 PP PTA BUCHA 1/2,1.58,PECA
114FBL32,FB 114 PP CZA,RODIZIO DE AÇO FIXO 114 COM RODA PP CINZA,1.3,PECA
114PBL40,PB 114 PP CZA B1/2,RODIZIO DE AÇO COM PINO RODA 114 PP CZA BUCHA 1/2,1.58,PECA
114PBL41,PB 114 PP BCA B1/2,RODIZIO DE AÇO COM PINO RODA 114 PP BCA BUCHA 1/2,1.58,PECA
114PBL42,PB 114 CRISTAL B1/2,RODIZIO DE AÇO COM PINO RODA 114 CRISTAL BUCHA 1/2,1.84,PECA
114PBL703,PB 114 PP BCA B5/8,RODIZIO DE AÇO COM PINO RODA 114 PP BCA BUCHA 5/8,1.63,PECA
114PBL704,PB 114 PP CZA B5/8,RODIZIO DE AÇO COM PINO RODA 114 PP CZA BUCHA 5/8,1.63,PECA
114PBL705,PB 114 PP PTA B5/8,RODIZIO DE AÇO COM PINO RODA 114 PP PTA BUCHA 5/8,1.63,PECA
114PBL706,PB 114 CRISTAL B5/8,RODIZIO DE AÇO COM PINO RODA 114 CRISTAL BUCHA 5/8,1.87,PECA
114RO01,RO 114 PP PTA,RODA 114 PP PRETA,0.35,PECA
114RO02,RO 114 PP BCA,RODA 114 PP BRANCA,0.35,PECA
114RO03,RO 114 PP CZA,RODA 114 PP CINZA,0.35,PECA
114RO04,RO 114 CRISTAL,RODA 114 CRISTAL,0.5,PECA
114RO615,RO 114 NY PTA,RODA 114 NY PTA,0.5,PECA
158FBD1148,FBD 158 GR,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO SEM RODA 158 E REBITE,3.94,PECA
158FBD1884,FBD 158 BP VER,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 BP VERMELHA,6.17,PECA
158FBD1885,FBD 158 ZK,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 ZAMAK,13.18,PECA
158FBD269,FBD 158 PP CZA,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 PP CINZA,4.19,PECA
158FBD209,FBD 158 BP AZU,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 BP AZUL,6.17,PECA
158FBD46,FBD 158 BP PTA,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 BP PRETA,6.17,PECA
158FBD44,FBD 158 NY PTA,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 NYLON 4 FUROS,5.75,PECA
158FBD45,FBD 158 BP CZA,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 BP CINZA,6.17,PECA
158FBD47,FBD 158 BP BCA,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 BP BRANCA,6.17,PECA
158FBD48,FBD 158 BP GEL,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 BP GEL,7.07,PECA
158FBD679,FBD 158 NY REF,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 NYLON REFORÇADA,5.98,PECA
158FBD787,FBD 158 PP PTA,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 PP PRETA,4.19,PECA
158FBD788,FBD 158 PP BCA,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 PP BRANCA,4.19,PECA
158FBD869,FBD 158 CRISTAL,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 CRISTAL,4.85,PECA
158FBML1073,FBM 158 GR,RODIZIO DE AÇO FIXO DE BASE 158 LINHA LEVE COM REBITE E SEM RODA,1.55,PECA
158FBML1597,FBM 158 NY REF,RODIZIO DE AÇO FIXO DE BASE 158 LINHA LEVE COM RODA NYLON REFORÇADA,2.85,PECA
158FBML328,FBM 158 NY PTA,RODIZIO DE AÇO FIXO DE BASE 158 LINHA LEVE COM RODA NYLON PRETA,2.75,PECA
158FBML67,FBM 158 PP PTA,RODIZIO DE AÇO FIXO DE BASE 158 LINHA LEVE COM RODA PP PRETA,1.94,PECA
158FBML68,FBM 158 PP CZA,RODIZIO DE AÇO FIXO DE BASE 158 LINHA LEVE COM RODA PP CINZA,1.94,PECA
158FBML69,FBM 158 PP BCA,RODIZIO DE AÇO FIXO DE BASE 158 LINHA LEVE COM RODA PP BRANCA,1.94,PECA
158FBML70,FBM 158 CRISTAL,RODIZIO DE AÇO FIXO DE BASE 158 LINHA LEVE COM RODA CRISTAL,2.2,PECA
158FBML72,FBM 158 BP CZA,RODIZIO DE AÇO FIXO DE BASE 158 LINHA LEVE COM RODA BP CINZA,2.98,PECA
158FBML71,FBM 158 BP PTA,RODIZIO DE AÇO FIXO DE BASE 158 LINHA LEVE COM RODA BP PRETA,2.98,PECA
158FBML73,FBM 158 BP BCA,RODIZIO DE AÇO FIXO DE BASE 158 LINHA LEVE COM RODA BP BRANCA,2.98,PECA
158FBML74,FBM 158 BP VER,RODIZIO DE AÇO FIXO DE BASE 158 LINHA LEVE COM RODA BP VERMELHA,2.98,PECA
158FBML75,FBM 158 BP AZU,RODIZIO DE AÇO FIXO DE BASE 158 LINHA LEVE COM RODA BP AZUL,2.98,PECA
158FBML76,FBM 158 BP GEL,RODIZIO DE AÇO FIXO DE BASE 158 LINHA LEVE COM RODA BP GEL,3.48,PECA
158FBMR107,FBMR 158 NY PTA,RODIZIO DE AÇO FIXO DE BASE MENOR 158 COM RODA 158 NYLON PRETA 4F,3.57,PECA
158FBMR109,FBMR 158 CRISTAL,RODIZIO DE AÇO FIXO DE BASE MENOR 158 COM RODA 158 CRISTAL,3.12,PECA
158FBMR110,FBMR 158 BP PTA,RODIZIO DE AÇO FIXO DE BASE MENOR 158 COM RODA 158 BP PRETA,3.78,PECA
158FBMR111,FBMR 158 BP CZA,RODIZIO DE AÇO FIXO DE BASE MENOR 158 COM RODA 158 BP CINZA,3.78,PECA
158FBMR112,FBMR 158 BP BCA,RODIZIO DE AÇO FIXO DE BASE MENOR 158 COM RODA 158 BP BRANCA,3.78,PECA
158FBMR113,FBMR 158 BP VER,RODIZIO DE AÇO FIXO DE BASE MENOR 158 COM RODA 158 BP VERMELHA,3.78,PECA
158FBMR114,FBMR 158 BP AZU,RODIZIO DE AÇO FIXO DE BASE MENOR 158 COM RODA 158 BP AZUL,3.78,PECA
158FBMR115,FBMR 158 BP GEL,RODIZIO DE AÇO FIXO DE BASE MENOR 158 COM RODA 158 BP GEL,4.24,PECA
158FBMR1838,FBMR 158 GR,RODIZIO DE AÇO FIXO DE BASE MENOR 158 SEM RODA 158 E REBITE,2.75,PECA
158FBMR2043,FBMR 158 NY BCA,RODIZIO DE AÇO FIXO DE BASE MENOR 158 COM RODA 158 NYLON BRANCA,3.86,PECA
158FBMR1839,FBMR 158 ZK,RODIZIO DE AÇO FIXO DE BASE MENOR 158 COM RODA 158 ZAMAK,7.09,PECA
158FBMR681,FBMR 158 NY REF,RODIZIO DE AÇO FIXO DE BASE MENOR 158 COM RODA 158 NYLON REFORÇADA,3.69,PECA
158FBMR870,FBMR 158 PP CZA,RODIZIO DE AÇO FIXO DE BASE MENOR 158 COM RODA 158 PP CINZA,2.79,PECA
158FBMR871,FBMR 158 PP PTA,RODIZIO DE AÇO FIXO DE BASE MENOR 158 COM RODA 158 PP PRETA,2.79,PECA
158FBMR872,FBMR 158 PP BCA,RODIZIO DE AÇO FIXO DE BASE MENOR 158 COM RODA 158 PP BRANCA,2.79,PECA
158FBR143,FB 158 NY PTA,RODIZIO DE AÇO FIXO DE BASE 158 BASE COM RODA 158 NYLON 4 FUROS,3.75,PECA
158FBR145,FB 158 CRISTAL,RODIZIO DE AÇO FIXO DE BASE 158 BASE COM RODA 158 CRISTAL,3.29,PECA
158FBR146,FB 158 BP PTA,RODIZIO DE AÇO FIXO DE BASE 158 BASE COM RODA 158 BP PRETA,3.95,PECA
158FBR147,FB 158 BP CZA,RODIZIO DE AÇO FIXO DE BASE 158 BASE COM RODA 158 BP CINZA,3.95,PECA
158FBR148,FB 158 BP BCA,RODIZIO DE AÇO FIXO DE BASE 158 BASE COM RODA 158 BP BRANCA,3.95,PECA
158FBR149,FB 158 BP VER,RODIZIO DE AÇO FIXO DE BASE 158 BASE COM RODA 158 BP VERMELHA,3.95,PECA
158FBR150,FB 158 BP AZU,RODIZIO DE AÇO FIXO DE BASE 158 BASE COM RODA 158 BP AZUL,3.95,PECA
158FBR151,FB 158 BP GEL,RODIZIO DE AÇO FIXO DE BASE 158 BASE COM RODA 158 BP GEL,4.42,PECA
158FBR1600,FB 158 ZK,RODIZIO DE AÇO FIXO DE BASE 158 BASE COM RODA 158 ZAMAK,7.3,PECA
158FBR1835,FB 158 GR,RODIZIO DE AÇO FIXO DE BASE 158 BASE SEM RODA 158 E REBITE,2.95,PECA
158FBR2036,FB 158 NY BCA,RODIZIO DE AÇO FIXO DE BASE 158 BASE COM RODA 158 NYLON BRANCA,4.04,PECA
158FBR687,FB 158 NY REF,RODIZIO DE AÇO FIXO DE BASE 158 BASE COM RODA 158 NYLON REFORÇADA,3.86,PECA
158FBR839,FB 158 PP PTA,RODIZIO DE AÇO FIXO DE BASE 158 BASE COM RODA 158 PP PRETA,2.98,PECA
158FBR873,FB 158 PP BCA,RODIZIO DE AÇO FIXO DE BASE 158 BASE COM RODA 158 PP BRANCA,2.98,PECA
158FBR874,FB 158 PP CZA,RODIZIO DE AÇO FIXO DE BASE 158 BASE COM RODA 158 PP CINZA,2.98,PECA
158FED1156,FED 158 NY PTA 25,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X25MM COM RODA 158 NYLON 4 FUROS,5.71,PECA
158FED1151,FED 158 GR 16,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X16MM SEM RODA 158 E COM REBITE,3.65,PECA
158FED1157,FED 158 NY REF 25,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X25MM COM RODA 158 NYLON REFORÇADA,5.94,PECA
158FED1813,FED 158 BP CZA 25,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X25MM COM RODA 158 BP CINZA,6.12,PECA
158FED1814,FED 158 BP GEL 25,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X25MM COM RODA 158 BP GEL,7.04,PECA
158FED1845,FED 158 ZK 16,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X16MM COM RODA 158 ZAMAK,12.58,PECA
158FED1846,FED 158 GR 25,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X25MM SEM RODA 158 E COM REBITE,3.88,PECA
158FED1847,FED 158 PP PTA 25,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X25MM COM RODA PP 158 PRETA,4.15,PECA
158FED233,FED 158 BP AZU 16,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X16MM COM RODA 158 BP AZUL,5.9,PECA
158FED50,FED 158 NY PTA 16,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X16MM COM RODA 158 NYLON 4 FUROS,5.48,PECA
158FED51,FED 158 BP CZA 16,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X16MM COM RODA 158 BP CINZA,5.9,PECA
158FED52,FED 158 BP PTA 16,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X16MM COM RODA 158 BP PRETA,5.9,PECA
158FED53,FED 158 BP BCA 16,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X16MM COM RODA 158 BP BRANCA,5.9,PECA
158FED54,FED 158 BP GEL 16,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X16MM COM RODA 158 BP GEL,6.82,PECA
158FED683,FED 158 NY REF 16,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X16MM COM RODA 158 NYLON REFORÇADA,5.71,PECA
158FED789,FED 158 PP PTA 16,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X16MM COM RODA 158 PP PRETA,3.92,PECA
158FED791,FED 158 PP BCA 16,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X16MM COM RODA 158 PP BRANCA,3.92,PECA
158FED790,FED 158 PP CZA 16,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X16MM COM RODA 158 PP CINZA,3.92,PECA
158FED795,FED 158 CRISTAL 16,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X16MM COM RODA 158 CRISTAL,4.58,PECA
158FED876,FED 158 BP VER 16,RODIZIO DE AÇO FIXO DUPLO DE ESPIGA 3/8X16MM COM RODA 158 BP VERMELHA,5.9,PECA
158FER1158,FE 158 NY REF 25,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X25MM COM RODA 158 NYLON REFORÇADA,3.61,PECA
158FER1159,FE 158 PP BCA 16,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X16MM COM RODA 158 PP BRANCA,2.55,PECA
158FER1160,FE 158 PP CZA 16,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X16MM COM RODA 158 PP CINZA,2.55,PECA
158FER116,FE 158 NY PTA 16,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X16MM COM RODA 158 NYLON 4 FUROS,3.27,PECA
158FER118,FE 158 CRISTAL 16,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X16MM COM RODA 158 CRISTAL,2.82,PECA
158FER119,FE 158 BP PTA 16,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X16MM COM RODA 158 BP PRETA,3.48,PECA
158FER120,FE 158 BP CZA 16,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X16MM COM RODA 158 BP CINZA,3.48,PECA
158FER121,FE 158 BP BCA 16,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X16MM COM RODA 158 BP BRANCA,3.48,PECA
158FER122,FE 158 BP VER 16,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X16MM COM RODA 158 BP VERMELHA,3.48,PECA
158FER123,FE 158 BP AZU 16,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X16MM COM RODA 158 BP AZUL,3.48,PECA
158FER124,FE 158 BP GEL 16,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X16MM COM RODA 158 BP GEL,3.94,PECA
158FER1577,FE 158 PP PTA 50,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X50MM COM RODA 158 PP PRETA,3.05,PECA
158FER1854,FE 158 ZK 16,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X16MM COM RODA 158 ZAMAK,6.98,PECA
158FER1855,FE 158 GR 16,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X16MM SEM RODA 158 E COM REBITE,2.48,PECA
158FER1856,FE 158 ZK 25,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X25MM COM RODA 158 ZAMAK,7.2,PECA
158FER1857,FE 158 GR 25,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X25MM SEM RODA 158 E COM REBITE,2.7,PECA
158FER1858,FE 158 GR 50,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X50MM SEM RODA 158 E COM REBITE,3.08,PECA
158FER1859,FE 158 BP CZA 50,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X50MM COM RODA 158 BP CINZA,4.04,PECA
158FER1860,FE 158 NY PTA 50,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X50MM COM RODA 158 NYLON 4 FUROS,3.83,PECA
158FER1861,FE 158 BP GEL 50,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X50MM COM RODA 158 BP GEL,4.5,PECA
158FER1862,FE 158 GR 516,RODIZIO DE AÇO FIXO DE ESPIGA 5/16X25MM SEM RODA 158 E COM REBITE,2.5,PECA
158FER1863,FE 158 PP PTA 516,RODIZIO DE AÇO FIXO DE ESPIGA 5/16X25MM COM RODA 158 PP PRETA,2.55,PECA
158FER1864,FE 158 NY PTA 516,RODIZIO DE AÇO FIXO DE ESPIGA 5/16X25MM COM RODA 158 NYLON 4 FUROS,3.31,PECA
158FER1865,FE 158 CRISTAL 516,RODIZIO DE AÇO FIXO DE ESPIGA 5/16X25MM COM RODA 158 CRISTAL,2.85,PECA
158FER1866,FE 158 BP GEL 516,RODIZIO DE AÇO FIXO DE ESPIGA 5/16X25MM COM RODA 158 BP GEL,3.98,PECA
158FER1867,FE 158 BP CZA 516,RODIZIO DE AÇO FIXO DE ESPIGA 5/16X25MM COM RODA 158 BP CINZA,3.52,PECA
158FER684,FE 158 NY REF 16,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X16MM COM RODA 158 NYLON REFORÇADA,3.39,PECA
158FER77,FE 158 PP PTA 25,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X25MM COM RODA 158 PP PRETA,2.71,PECA
158FER78,FE 158 PP CZA 25,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X25MM COM RODA 158 PP CINZA,2.71,PECA
158FER79,FE 158 PP BCA 25,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X25MM COM RODA 158 PP BRANCA,2.71,PECA
158FER80,FE 158 CRISTAL 25,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X25MM COM RODA 158 CRISTAL,3.04,PECA
158FER81,FE 158 BP PTA 25,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X25MM COM RODA 158 BP PRETA,3.7,PECA
158FER82,FE 158 BP CZA 25,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X25MM COM RODA 158 BP CINZA,3.7,PECA
158FER83,FE 158 BP BCA 25,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X25MM COM RODA 158 BP BRANCA,3.7,PECA
158FER84,FE 158 BP VER 25,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X25MM COM RODA 158 BP VERMELHA,3.7,PECA
158FER85,FE 158 BP AZU 25,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X25MM COM RODA 158 BP AZUL,3.7,PECA
158FER86,FE 158 BP GEL 25,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X25MM COM RODA 158 BP GEL,4.16,PECA
158FER864,FE 158 PP PTA 16,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X16MM COM RODA 158 PP PRETA,2.55,PECA
158FER877,FE 158 NY PTA 25,RODIZIO DE AÇO FIXO DE ESPIGA 3/8X25MM COM RODA 158 NYLON 4 FUROS,3.5,PECA
158FR158555,FR 158 PTA,FREIO COM SAPATA DE NYLON E REBITE COMPLETO LINHA 158,0.8,PECA
158GBD1149,GBD 158 GR,RODIZIO DE AÇO GIRATORIO DE BASE 158 DUPLO SEM RODA 158 E COM REBITE,4.85,PECA
158GBD1637,GBD 158 ZK,RODIZIO DE AÇO GIRATORIO DE BASE 158 DUPLO COM RODA 158 ZAMAK,13.53,PECA
158GBD193,GBD 158 PP CZA,RODIZIO DE AÇO GIRATORIO DE BASE 158 DUPLO COM RODA 158 PP CINZA,5,PECA
158GBD56,GBD 158 NY PTA,RODIZIO DE AÇO GIRATORIO DE BASE 158 DUPLO COM RODA 158 NYLON 4 FUROS,6.52,PECA
158GBD57,GBD 158 BP CZA,RODIZIO DE AÇO GIRATORIO DE BASE 158 DUPLO COM RODA 158 BP CINZA,6.96,PECA
158GBD58,GBD 158 BP PTA,RODIZIO DE AÇO GIRATORIO DE BASE 158 DUPLO COM RODA 158 BP PRETA,6.96,PECA
158GBD59,GBD 158 BP BCA,RODIZIO DE AÇO GIRATORIO DE BASE 158 DUPLO COM RODA 158 BP BRANCA,6.96,PECA
158GBD60,GBD 158 BP GEL,RODIZIO DE AÇO GIRATORIO DE BASE 158 DUPLO COM RODA 158 BP GEL,7.88,PECA
158GBD675,GBD 158 CRISTAL,RODIZIO DE AÇO GIRATORIO DE BASE 158 DUPLO COM RODA 158 CRISTAL,5.63,PECA
158GBD676,GBD 158 PP BCA,RODIZIO DE AÇO GIRATORIO DE BASE 158 DUPLO COM RODA 158 PP BRANCA,5,PECA
158GBD686,GBD 158 NY REF,RODIZIO DE AÇO GIRATORIO DE BASE 158 DUPLO COM RODA 158 NYLON REFORÇADA,6.75,PECA
158GBD786,GBD 158 PP PTA,RODIZIO DE AÇO GIRATORIO DE BASE 158 DUPLO COM RODA 158 PP PRETA,5,PECA
158GBD792,GBD 158 BP AZU,RODIZIO DE AÇO GIRATORIO DE BASE 158 DUPLO COM RODA 158 BP AZUL,6.96,PECA
158GBD838,GBD 158 BP VER,RODIZIO DE AÇO GIRATORIO DE BASE 158 DUPLO COM RODA 158 BP VERMELHA,6.96,PECA
158GBML1074,GBM 158 GR,RODIZIO DE AÇO GIRATÓRIO DE BASE 158 LINHA LEVE COM REBITE E SEM RODA,2.08,PECA
158GBML1099,GBM 158 FR GR,RODIZIO DE AÇO GIRATÓRIO DE BASE 158 LINHA LEVE COM REBITE E SEM RODA E FREIO,2.98,PECA
158GBML1795,GBM 158 NY PTA BICRO,RODIZIO DE AÇO GIRATÓRIO DE BASE 158 LINHA LEVE COM RODA 158 NYLON 4 FUROS BICROMATIZADO,3.35,PECA
158GBML1796,GBM 158 PP PTA BICRO,RODIZIO DE AÇO GIRATÓRIO DE BASE 158 LINHA LEVE COM RODA 158 PP PRETA BICROMATIZADO,2.44,PECA
158GBML1797,GBM 158 NY REF,RODIZIO DE AÇO GIRATÓRIO DE BASE 158 LINHA LEVE COM RODA 158 NYLON REFORÇADA,3.45,PECA
158GBML2040,GBM 158 NY BCA,RODIZIO DE AÇO GIRATÓRIO DE BASE 158 LINHA LEVE COM RODA 158 NYLON BRANCA,3.7,PECA
158GBML327,GBM 158 NY PTA,RODIZIO DE AÇO GIRATÓRIO DE BASE 158 LINHA LEVE COM RODA 158 NYLON PRETA,3.35,PECA
158GBML584,GBM 158 FR BP CZA,RODIZIO DE AÇO GIRATÓRIO DE BASE 158 LINHA LEVE COM RODA 158 BP CINZA E FREIO,4.38,PECA
158GBML585,GBM 158 FR PP PTA,RODIZIO DE AÇO GIRATÓRIO BASE LINHA LEVE COM RODA 158 PP PRETA E FREIO,3.24,PECA
158GBML586,GBM 158 FR BP AZU,RODIZIO DE AÇO GIRATÓRIO BASE LINHA LEVE COM RODA 158 BP AZUL E FREIO,4.38,PECA
158GBML587,GBM 158 FR BP VER,RODIZIO DE AÇO GIRATÓRIO BASE LINHA LEVE COM RODA 158 BP VERMELHA E FREIO,4.38,PECA
158GBML588,GBM 158 FR CRISTAL,RODIZIO DE AÇO GIRATÓRIO BASE LINHA LEVE COM RODA 158 CRISTAL E FREIO,3.6,PECA
