cod_prod,descr_resumida,descr_detalhada,preco,unidade
512GER1739,GE 512 FR FE/PU BU 25,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X25MM COM RODA 512 FERRO COM POLIURETANO E FREIO,0,PECA
512GER1509,GE 512 BP CZA 75,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X75MM COM RODA 512 BP CINZA,18.28,PECA
512GER1740,GE 512 FR BP CZA 25,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X25MM COM RODA 512 BP CINZA  E FREIO,30.6,PECA
512GER1822,GE 512 FR PP PTA 25,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X25MM COM RODA 512 PP PRETA E FREIO,28.46,PECA
512GER1823,GE 512 FR NY BCA 25,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X25MM COM RODA 512 NYLON BRANCA E FREIO,39.96,PECA
512GER1841,GE 512 BP CZA CT RO 25,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X25MM COM RODA 512 BP CINZA CALOTA E ROLAMENTO,19.73,PECA
512GER1995,GE 512 GP PLK 25,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X25MM SEM RODA 512 PARAFUSO E PORCA PARLOCK,10.61,PECA
512GER1922,GE 512 FR GP 25,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X25MM SEM RODA 512 PARAFUSO E PORCA E FREIO,26.46,PECA
512GER1996,GE 512 GP 75,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X75MM SEM RODA 512 PARAFUSO E PORCA,11.46,PECA
512GER1997,GE 512 FR BP CZA CT RO 25,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X25MM COM RODA 512 BP CINZ CALOTA E ROLAMENTO E FREIO,32.52,PECA
512GER1998,GE 512 FR GP PLK 25,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X25MM SEM RODA 512 PARAFUSO E PORCA PARLOCK E FREIO,26.52,PECA
512GER1999,GE 512 FR GP 75,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X75MM SEM RODA 512 PARAFUSO E PORCA E FREIO,29.06,PECA
512GER2001,GE 512 FR NY BCA 75,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X75MM COM RODA 512 NYLON BRANCA E FREIO,42.35,PECA
512GER2000,GE 512 FR BP CZA 75,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X75MM COM RODA 512 BP CINZA  E FREIO,32.98,PECA
512GER2094,GE 512 UP 25,RODIZIO DE AÇO GIRATORIO DE PARAFUSO 25MM COM RODA 512 UP,20.01,PECA
512GER2095,GE 512 FR UP 25,RODIZIO DE AÇO GIRATORIO DE PARAFUSO 25MM COM RODA 512 UP COM FREIO,32.84,PECA
512GER921,GE 512 GP 25,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X25MM SEM RODA 512 PARAFUSO E PORCA,10.55,PECA
